City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Osa,RU,2020-11-04 00:19:22,57.28,55.46,30.56,91,0,6.04
1,Atuona,PF,2020-11-04 00:19:22,-9.8,-139.03,78.12,73,28,18.79
2,Albany,US,2020-11-04 00:19:23,42.6,-73.97,33.01,78,46,3.91
3,Norton Shores,US,2020-11-04 00:19:23,43.17,-86.26,60.8,44,1,16.11
4,Cape Town,ZA,2020-11-04 00:15:00,-33.93,18.42,68.0,72,20,17.22
5,Marseille,FR,2020-11-04 00:19:23,43.33,5.5,55.4,58,0,14.99
6,Comodoro Rivadavia,AR,2020-11-04 00:19:23,-45.87,-67.5,59.0,72,0,6.93
7,Labuhan,ID,2020-11-04 00:19:23,-6.88,112.21,81.03,79,82,6.93
8,Khatanga,RU,2020-11-04 00:19:24,71.97,102.5,-1.07,93,94,4.85
9,Castro,BR,2020-11-04 00:19:24,-24.79,-50.01,57.22,76,58,7.45
10,Outjo,NA,2020-11-04 00:19:24,-20.12,16.15,68.0,19,33,2.24
11,Avarua,CK,2020-11-04 00:19:24,-21.21,-159.78,75.2,83,96,9.17
12,Ushuaia,AR,2020-11-04 00:19:24,-54.8,-68.3,55.4,47,40,17.22
13,Punta Arenas,CL,2020-11-04 00:19:24,-53.15,-70.92,48.2,81,75,10.29
14,Busselton,AU,2020-11-04 00:19:25,-33.65,115.33,59.0,78,5,1.01
15,Hobart,AU,2020-11-04 00:18:37,-42.88,147.33,73.4,40,0,19.46
16,Talnakh,RU,2020-11-04 00:19:25,69.49,88.4,-7.6,76,40,4.47
17,Fort Nelson,CA,2020-11-04 00:15:04,58.81,-122.7,12.2,78,90,3.36
18,Esmeralda,CU,2020-11-04 00:19:25,21.85,-78.12,73.4,100,75,10.29
19,Zhigansk,RU,2020-11-04 00:19:26,66.77,123.37,-0.94,90,88,3.36
20,Russell,US,2020-11-04 00:19:26,32.35,-85.2,59.0,71,1,2.46
21,Brazzaville,CG,2020-11-04 00:14:53,-4.27,15.28,76.95,80,77,2.93
22,Kishni,IN,2020-11-04 00:19:26,27.02,79.26,64.38,27,0,3.49
23,Mataura,NZ,2020-11-04 00:19:26,-46.19,168.86,72.66,43,0,4.21
24,Akdepe,TM,2020-11-04 00:19:26,42.06,59.38,44.6,33,0,11.41
25,Hambantota,LK,2020-11-04 00:19:27,6.12,81.12,78.24,84,100,4.41
26,Le Vauclin,MQ,2020-11-04 00:19:27,14.55,-60.84,80.6,78,40,13.87
27,Rikitea,PF,2020-11-04 00:19:27,-23.12,-134.97,73.18,74,0,15.39
28,Tuatapere,NZ,2020-11-04 00:19:27,-46.13,167.68,67.77,46,0,2.51
29,Puerto Ayora,EC,2020-11-04 00:19:27,-0.74,-90.35,68.0,93,87,8.01
30,Samarai,PG,2020-11-04 00:19:28,-10.62,150.67,81.66,79,89,11.32
31,Nanortalik,GL,2020-11-04 00:19:28,60.14,-45.24,38.84,85,100,17.76
32,San Patricio,US,2020-11-04 00:19:28,28.02,-97.52,69.8,73,20,9.17
33,Longyearbyen,SJ,2020-11-04 00:19:28,78.22,15.64,28.4,79,75,12.75
34,Deputatskiy,RU,2020-11-04 00:19:28,69.3,139.9,-13.95,86,0,1.5
35,Carnarvon,AU,2020-11-04 00:19:28,-24.87,113.63,68.0,68,0,16.11
36,Camacha,PT,2020-11-04 00:19:29,33.08,-16.33,64.4,68,40,18.34
37,Athabasca,CA,2020-11-04 00:19:29,54.72,-113.29,50.0,61,83,4.03
38,Port Elizabeth,ZA,2020-11-04 00:19:29,-33.92,25.57,66.2,93,75,6.93
39,Gladstone,AU,2020-11-04 00:19:29,-23.85,151.25,77.0,50,90,8.05
40,Ponta Do Sol,PT,2020-11-04 00:19:29,32.67,-17.1,66.2,68,75,21.92
41,Fare,PF,2020-11-04 00:19:29,-16.7,-151.02,80.51,78,82,19.73
42,Thompson,CA,2020-11-04 00:15:03,55.74,-97.86,23.0,92,90,2.24
43,Cody,US,2020-11-04 00:17:04,44.53,-109.06,71.6,11,1,9.17
44,Qaanaaq,GL,2020-11-04 00:19:30,77.48,-69.36,1.0,78,1,2.48
45,East London,ZA,2020-11-04 00:19:30,-33.02,27.91,67.95,87,35,3.06
46,Chokurdakh,RU,2020-11-04 00:19:30,70.63,147.92,-16.33,83,0,4.56
47,Severo-Kurilsk,RU,2020-11-04 00:19:30,50.68,156.12,41.61,79,16,15.77
48,Mar Del Plata,AR,2020-11-04 00:18:10,-38.0,-57.56,60.01,87,0,16.11
49,Barrow,US,2020-11-04 00:19:31,71.29,-156.79,10.4,85,90,11.41
50,Hovd,MN,2020-11-04 00:14:53,48.01,91.64,30.0,79,100,8.23
51,Geraldton,AU,2020-11-04 00:19:31,-28.77,114.6,62.6,72,30,8.05
52,Hasaki,JP,2020-11-04 00:19:32,35.73,140.83,55.0,58,20,5.82
53,Hermanus,ZA,2020-11-04 00:19:32,-34.42,19.23,64.0,92,80,11.86
54,Shumyachi,RU,2020-11-04 00:19:32,53.86,32.42,42.46,93,80,3.51
55,Turukhansk,RU,2020-11-04 00:19:32,65.82,87.98,6.64,95,97,2.3
56,Upernavik,GL,2020-11-04 00:19:32,72.79,-56.15,17.24,92,100,6.85
57,Egvekinot,RU,2020-11-04 00:19:32,66.32,-179.17,7.79,81,0,3.65
58,Tasiilaq,GL,2020-11-04 00:19:32,65.61,-37.64,32.0,97,100,34.45
59,Bethel,US,2020-11-04 00:18:28,41.37,-73.41,37.4,64,1,2.3
60,Souillac,MU,2020-11-04 00:19:33,-20.52,57.52,68.0,88,75,6.93
61,Joshimath,IN,2020-11-04 00:19:33,30.57,79.57,45.54,51,0,4.56
